name,label,type,uniq,summaryfield,fieldgroup
hostname,主机名,text,TRUE,TRUE,Network
uuid,UUID,text,TRUE,,Basic
system,操作系统,text,,,System
kernel,内核版本,text,,,System
vendor,厂商,text,,,Basic
model,型号,text,,,Basic
mem,内存,text,,TRUE,Basic
cpu,CPU,text,,TRUE,Basic
disk,硬盘,text,,,Basic
ip,IP地址,text,,TRUE,Network
hypervisor-ip,宿主机IP,text,,,Network
administrator,管理员,objectref-人员,,TRUE,Configuration
cluster,集群,objectref-集群,,TRUE,Configuration
status,状态,objectref-状态,,TRUE,Configuration
location,机房,objectref-机房,,,Configuration
isp,运营商,objectref-ISP,,,Configuration
comment,备注,textarea,,,Extend
